lat,lng,category,title,timeStamp,zip,twp
40.2205964,-75.2310851,Traffic,Traffic: VEHICLE ACCIDENT -,2017-07-12 17:40:41,19454,MONTGOMERY
40.0931406,-75.3677644,EMS,EMS: CARDIAC EMERGENCY,2017-03-12 10:28:07,19406,UPPER MERION
40.2013457,-75.5384201,Traffic,Traffic: VEHICLE ACCIDENT -,2018-01-28 20:55:38,19468,LIMERICK
40.1793752,-75.2362381,Traffic,Traffic: ROAD OBSTRUCTION -,2016-05-27 13:08:03,,LOWER GWYNEDD
40.2423803,-75.6289417,EMS,EMS: FALL VICTIM,2017-10-06 11:40:48,19464,POTTSTOWN
40.1723141,-75.4927278,Traffic,Traffic: VEHICLE ACCIDENT -,2019-01-22 07:47:30,,UPPER PROVIDENCE
40.1243298,-75.4082265,Traffic,Traffic: DISABLED VEHICLE -,2020-04-02 15:37:02,19403,WEST NORRITON
40.1795116,-75.2777325,Traffic,Traffic: DISABLED VEHICLE -,2017-04-08 19:30:12,19422,WHITPAIN
40.2664728,-75.2742243,Traffic,Traffic: VEHICLE ACCIDENT -,2018-08-30 16:54:43,19440,HATFIELD TOWNSHIP
40.2625755,-75.6758421,Fire,Fire: BUILDING FIRE,2018-02-17 17:16:56,19464,WEST POTTSGROVE
40.1349890,-75.3477640,EMS,EMS: CVA/STROKE,2018-11-11 14:13:38,19403,NORRISTOWN
40.0797963,-75.1683050,EMS,EMS: ASSAULT VICTIM,2019-12-13 18:40:25,19150,CHELTENHAM
40.2689231,-75.6214907,Traffic,Traffic: DISABLED VEHICLE -,2018-11-15 17:25:27,19464,CHESTER COUNTY
40.1346530,-75.1209397,Traffic,Traffic: VEHICLE FIRE -,2017-10-18 17:24:34,19090,ABINGTON
40.2430393,-75.2752267,EMS,EMS: VEHICLE ACCIDENT,2019-10-24 12:19:48,19446,LANSDALE
40.2118999,-75.4948307,Traffic,Traffic: VEHICLE ACCIDENT -,2019-05-09 15:13:06,19468,UPPER PROVIDENCE
40.1167461,-75.3411480,Traffic,Traffic: DISABLED VEHICLE -,2018-11-20 14:03:37,19401,NORRISTOWN
40.1281745,-75.1231619,Traffic,Traffic: HAZARDOUS ROAD CONDITIONS -,2019-04-04 10:12:06,19090,ABINGTON
40.0734171,-75.0962453,Traffic,Traffic: VEHICLE ACCIDENT -,2016-08-03 10:01:31,19046,ABINGTON
40.2084315,-75.5062219,EMS,EMS: VEHICLE ACCIDENT,2017-11-18 11:44:18,19468,LIMERICK
40.3587728,-75.5381020,Fire,Fire: S/B AT HELICOPTER LANDING,2018-08-25 15:19:49,18074,NEW HANOVER
40.3941297,-75.5012100,EMS,EMS: SUBJECT IN PAIN,2020-03-17 00:11:34,18073,PENNSBURG
40.1805917,-75.1235833,EMS,EMS: FALL VICTIM,2017-06-20 11:01:26,19044,HORSHAM
40.0789783,-75.2947912,EMS,EMS: DEHYDRATION,2019-09-03 19:08:48,19428,CONSHOHOCKEN
40.1330371,-75.4084631,EMS,EMS: FALL VICTIM,2017-12-24 10:52:15,19403,LOWER PROVIDENCE
40.0812601,-75.1370254,EMS,EMS: SEIZURES,2016-12-11 08:20:32,,CHELTENHAM
40.3136137,-75.3230643,EMS,EMS: DIABETIC EMERGENCY,2016-12-26 01:55:30,18964,SOUDERTON
40.1097545,-75.1534767,EMS,EMS: GENERAL WEAKNESS,2016-03-04 11:06:55,19038,ABINGTON
40.0873427,-75.1396861,Fire,Fire: FIRE INVESTIGATION,2018-12-21 06:24:59,19095,CHELTENHAM
39.9791737,-75.2715236,Traffic,Traffic: VEHICLE ACCIDENT -,2019-02-09 16:43:55,19151,LOWER MERION
40.1414828,-75.1171420,Traffic,Traffic: VEHICLE ACCIDENT -,2017-10-31 19:51:46,19090,ABINGTON
40.0443893,-75.2793810,EMS,EMS: NAUSEA/VOMITING,2019-04-04 15:52:45,19035,LOWER MERION
40.2422807,-75.2862743,EMS,EMS: BACK PAINS/INJURY,2016-11-20 13:52:47,19446,LANSDALE
40.1194675,-75.0674656,Traffic,Traffic: VEHICLE ACCIDENT -,2017-12-28 12:38:38,19006,LOWER MORELAND
40.1358315,-75.1169480,Traffic,Traffic: VEHICLE ACCIDENT -,2018-06-20 06:47:56,19001,ABINGTON
40.3116295,-75.3310962,Traffic,Traffic: VEHICLE ACCIDENT -,2020-03-09 20:28:22,18964,SOUDERTON
40.1566208,-75.4113257,EMS,EMS: GENERAL WEAKNESS,2019-11-17 09:49:28,19403,LOWER PROVIDENCE
40.0972222,-75.3761952,Traffic,Traffic: VEHICLE ACCIDENT -,2020-07-07 14:51:11,,UPPER MERION
40.0921365,-75.1620346,EMS,EMS: BACK PAINS/INJURY,2018-02-23 01:32:52,19095,CHELTENHAM
40.1354088,-75.1854977,Traffic,Traffic: VEHICLE ACCIDENT -,2019-06-27 17:43:34,19034,UPPER DUBLIN
40.1294478,-75.3120097,EMS,EMS: HEAD INJURY,2019-11-24 04:01:24,19401,EAST NORRITON
40.3154922,-75.6066722,EMS,EMS: HEAD INJURY,2018-09-14 09:38:20,19525,DOUGLASS
40.0112563,-75.2598772,Traffic,Traffic: DISABLED VEHICLE -,2019-05-10 08:13:20,19072,LOWER MERION
40.1649518,-75.0605410,Traffic,Traffic: VEHICLE ACCIDENT -,2017-02-05 19:12:50,18966,UPPER MORELAND
40.1074003,-75.1132060,EMS,EMS: CARDIAC EMERGENCY,2017-02-08 13:31:00,19046,ABINGTON
40.1506748,-75.1326521,EMS,EMS: DIABETIC EMERGENCY,2019-01-19 19:37:20,19090,UPPER MORELAND
40.0972222,-75.3761952,Traffic,Traffic: VEHICLE ACCIDENT -,2020-04-25 11:46:32,,UPPER MERION
40.1156859,-75.3329667,EMS,EMS: ALTERED MENTAL STATUS,2019-01-06 23:11:15,19401,NORRISTOWN
40.1294478,-75.3120097,EMS,EMS: UNCONSCIOUS SUBJECT,2017-11-01 17:33:57,19401,EAST NORRITON
40.0941849,-75.2866500,Traffic,Traffic: VEHICLE ACCIDENT -,2019-07-01 10:36:23,19428,PLYMOUTH
40.2321348,-75.5255249,Fire,Fire: VEHICLE ACCIDENT,2018-02-19 17:39:25,19468,LIMERICK
40.1546984,-75.1392426,Traffic,Traffic: VEHICLE ACCIDENT -,2016-04-23 11:46:45,19090,UPPER MORELAND
40.1192546,-75.2362381,Traffic,Traffic: DISABLED VEHICLE -,2018-09-21 14:37:26,,WHITEMARSH
40.1051084,-75.3451838,EMS,EMS: SEIZURES,2019-07-04 16:12:58,,BRIDGEPORT
40.0923493,-75.3704506,EMS,EMS: UNKNOWN MEDICAL EMERGENCY,2018-10-11 07:41:06,19406,UPPER MERION
40.1723141,-75.4927278,Traffic,Traffic: ROAD OBSTRUCTION -,2017-05-23 14:39:20,,UPPER PROVIDENCE
40.1723141,-75.4927278,Traffic,Traffic: VEHICLE ACCIDENT -,2020-07-06 14:51:59,,UPPER PROVIDENCE
40.1716295,-75.5144131,Fire,Fire: CARBON MONOXIDE DETECTOR,2017-08-16 01:42:28,19468,UPPER PROVIDENCE
40.1908500,-75.5321430,Traffic,Traffic: DISABLED VEHICLE -,2016-09-13 10:51:26,19468,ROYERSFORD
40.2261919,-75.2122010,EMS,EMS: SYNCOPAL EPISODE,2018-10-25 07:30:50,19454,MONTGOMERY
40.2347044,-75.5392779,Fire,Fire: FIRE POLICE NEEDED,2018-07-13 08:43:45,19468,LIMERICK
40.0117673,-75.2946732,EMS,EMS: RESPIRATORY EMERGENCY,2018-11-27 03:37:06,19041,LOWER MERION
40.1165753,-75.3513892,EMS,EMS: SUBJECT IN PAIN,2020-07-20 21:03:08,19401,NORRISTOWN
40.2511626,-75.4610554,EMS,EMS: SEIZURES,2017-07-25 10:36:05,19473,SCHWENKSVILLE
40.1686130,-75.1264900,Traffic,Traffic: VEHICLE ACCIDENT -,2019-08-09 12:20:20,19090,UPPER MORELAND
40.1295637,-75.3516368,EMS,EMS: ABDOMINAL PAINS,2016-03-09 00:47:54,19401,NORRISTOWN
40.1302150,-75.3824469,EMS,EMS: CHOKING,2018-02-18 09:36:40,19403,WEST NORRITON
40.0821747,-75.2741571,Fire,Fire: FIRE INVESTIGATION,2019-11-25 12:12:48,19444,WHITEMARSH
40.1112471,-75.1706854,EMS,EMS: CARDIAC EMERGENCY,2020-06-01 17:52:05,19038,ABINGTON
40.1199778,-75.3592062,EMS,EMS: HEMORRHAGING,2016-07-13 09:33:49,19401,NORRISTOWN
40.1173853,-75.1454830,EMS,EMS: UNCONSCIOUS SUBJECT,2017-03-27 01:08:28,19038,ABINGTON
40.1731874,-75.4970114,Fire,Fire: VEHICLE ACCIDENT,2017-01-13 21:31:16,19468,UPPER PROVIDENCE
40.1231092,-75.3580081,Traffic,Traffic: ROAD OBSTRUCTION -,2017-07-24 22:04:48,19401,NORRISTOWN
40.0309502,-75.2631114,Traffic,Traffic: VEHICLE ACCIDENT -,2019-09-08 19:19:37,19035,LOWER MERION
40.0809133,-75.2026651,EMS,EMS: SUBJECT IN PAIN,2018-09-19 05:49:02,19038,SPRINGFIELD
40.1294478,-75.3120097,EMS,EMS: FRACTURE,2020-05-30 04:16:08,19401,EAST NORRITON
40.1357281,-75.4790398,EMS,EMS: RESPIRATORY EMERGENCY,2019-08-23 14:03:44,19460,UPPER PROVIDENCE
40.1000593,-75.1259340,EMS,EMS: CVA/STROKE,2019-07-24 10:19:37,19046,JENKINTOWN
40.1104150,-75.3333180,EMS,EMS: SUBJECT IN PAIN,2018-02-16 18:25:11,19401,NORRISTOWN
40.0086800,-75.2107603,Traffic,Traffic: VEHICLE ACCIDENT -,2019-01-26 07:31:35,19004,LOWER MERION
40.1234655,-75.0432767,EMS,EMS: VEHICLE ACCIDENT,2020-07-07 01:49:50,19006,LOWER MORELAND
40.1033767,-75.4124499,EMS,EMS: FALL VICTIM,2016-07-01 07:11:26,19406,UPPER MERION
40.1192546,-75.2362381,Traffic,Traffic: ROAD OBSTRUCTION -,2017-03-31 11:08:29,,WHITEMARSH
40.1518195,-75.2665979,EMS,EMS: VEHICLE ACCIDENT,2016-05-18 09:09:23,,WHITPAIN
40.1568468,-75.1019942,Traffic,Traffic: VEHICLE ACCIDENT -,2016-05-05 13:36:55,,UPPER MORELAND
40.0216084,-75.3209564,EMS,EMS: HEAD INJURY,2019-11-25 14:34:43,19010,LOWER MERION
40.1792123,-75.5419769,Fire,Fire: GAS-ODOR/LEAK,2020-04-10 22:28:50,19468,ROYERSFORD
40.0249667,-75.2829046,Traffic,Traffic: VEHICLE ACCIDENT -,2017-03-16 15:03:07,,LOWER MERION
40.1451648,-75.3935796,Traffic,Traffic: HAZARDOUS ROAD CONDITIONS -,2015-12-16 23:17:55,19403,LOWER PROVIDENCE
40.0924461,-75.1766903,EMS,EMS: RESPIRATORY EMERGENCY,2018-08-27 06:12:07,19038,CHELTENHAM
40.1847975,-75.2868790,Fire,Fire: FIRE ALARM,2018-11-01 14:40:18,19422,WHITPAIN
40.1120824,-75.3298582,Fire,Fire: BUILDING FIRE,2018-04-08 19:32:33,19401,NORRISTOWN
40.1465615,-75.1745292,EMS,EMS: UNKNOWN MEDICAL EMERGENCY,2017-04-14 17:57:21,19025,UPPER DUBLIN
40.2165230,-75.2214848,EMS,EMS: CARDIAC EMERGENCY,2016-04-08 08:27:28,19454,MONTGOMERY
40.0123627,-75.2557648,EMS,EMS: ALLERGIC REACTION,2017-04-07 16:26:06,19072,LOWER MERION
40.0844157,-75.3387826,Fire,Fire: FIRE ALARM,2016-12-23 12:30:08,19406,UPPER MERION
40.0972222,-75.3761952,Traffic,Traffic: DISABLED VEHICLE -,2019-05-03 15:12:53,,UPPER MERION
40.2676077,-75.2844195,EMS,EMS: DIABETIC EMERGENCY,2019-04-17 11:22:26,19440,HATFIELD TOWNSHIP
40.0788622,-75.4020788,EMS,EMS: CARDIAC EMERGENCY,2019-07-25 16:06:30,19087,CHESTER COUNTY
40.2048484,-75.2116241,Traffic,Traffic: VEHICLE ACCIDENT -,2016-08-20 15:56:46,19002,HORSHAM
40.0850190,-75.1075268,EMS,EMS: FALL VICTIM,2020-01-23 17:49:19,19027,ABINGTON
40.0247354,-75.3189319,EMS,EMS: MEDICAL ALERT ALARM,2019-04-16 16:34:43,19010,LOWER MERION
40.1231771,-75.3337165,EMS,EMS: FRACTURE,2019-03-18 14:59:38,19401,NORRISTOWN
40.2459317,-75.6440859,EMS,EMS: UNRESPONSIVE SUBJECT,2016-01-20 06:46:31,19464,POTTSTOWN
40.2353731,-75.2247509,Traffic,Traffic: DISABLED VEHICLE -,2017-07-11 11:30:43,19454,MONTGOMERY
40.1284820,-75.3468480,Traffic,Traffic: VEHICLE ACCIDENT -,2016-05-31 15:52:03,19401,NORRISTOWN
40.2806101,-75.2924128,Fire,Fire: BUILDING FIRE,2017-04-23 08:05:48,19440,HATFIELD TOWNSHIP
40.1129820,-75.3428384,EMS,EMS: NAUSEA/VOMITING,2017-07-26 09:54:56,19401,NORRISTOWN
40.1633170,-75.1110560,Traffic,Traffic: DISABLED VEHICLE -,2019-08-20 16:34:24,19040,UPPER MORELAND
40.2470749,-75.3054358,EMS,EMS: HEAD INJURY,2020-01-09 11:20:47,19446,TOWAMENCIN
40.1532684,-75.1895576,Traffic,Traffic: DISABLED VEHICLE -,2018-11-17 14:14:35,,UPPER DUBLIN
40.2485628,-75.6338116,EMS,EMS: UNKNOWN MEDICAL EMERGENCY,2019-06-13 10:45:07,19464,POTTSTOWN
40.0443893,-75.2793810,EMS,EMS: HEMORRHAGING,2017-01-22 07:45:45,19035,LOWER MERION
